"id","source_question_id","destination_question_id","created_at","kind","updated_at","removed_at","created_by","removed_by"
1,40,39,"2013-11-30 16:12:34.276417","assumptive_dependency","2013-11-30 16:12:34.276417",NULL,NULL,NULL
2,42,39,"2013-11-30 16:13:15.161498","assumptive_dependency","2013-11-30 16:13:15.161498",NULL,NULL,NULL
3,41,42,"2013-11-30 16:13:51.201609","assumptive_dependency","2013-11-30 16:13:51.201609",NULL,NULL,NULL
4,53,39,"2013-11-30 16:14:20.314572","assumptive_dependency","2013-11-30 16:14:20.314572",NULL,NULL,NULL
5,54,40,"2013-11-30 16:14:46.093856","assumptive_dependency","2013-11-30 16:14:46.093856",NULL,NULL,NULL
6,55,41,"2013-11-30 16:15:24.673805","assumptive_dependency","2013-11-30 16:15:24.673805",NULL,NULL,NULL
7,43,39,"2013-11-30 16:20:31.474311","assumptive_dependency","2013-11-30 16:20:31.474311",NULL,NULL,NULL
8,45,41,"2013-11-30 16:21:00.222679","assumptive_dependency","2013-11-30 16:21:00.222679",NULL,NULL,NULL
9,44,43,"2013-11-30 16:22:45.254473","assumptive_dependency","2013-11-30 16:22:45.254473",NULL,NULL,NULL
10,44,40,"2013-11-30 16:22:45.268912","assumptive_dependency","2013-11-30 16:22:45.268912",NULL,NULL,NULL
11,46,42,"2013-11-30 16:23:37.063449","assumptive_dependency","2013-11-30 16:23:37.063449",NULL,NULL,NULL
12,46,43,"2013-11-30 16:23:37.076601","assumptive_dependency","2013-11-30 16:23:37.076601",NULL,NULL,NULL
13,45,46,"2013-11-30 16:23:55.666145","assumptive_dependency","2013-11-30 16:23:55.666145",NULL,NULL,NULL
14,61,20,"2013-11-30 16:51:39.952715","assumptive_dependency","2013-11-30 16:51:39.952715",NULL,NULL,NULL
15,20,22,"2013-11-30 16:52:39.836428","assumptive_dependency","2013-11-30 16:52:39.836428",NULL,NULL,NULL
16,19,22,"2013-11-30 16:53:11.41299","assumptive_dependency","2013-11-30 16:53:11.41299",NULL,NULL,NULL
17,19,52,"2013-11-30 16:53:11.424243","assumptive_dependency","2013-11-30 16:53:11.424243",NULL,NULL,NULL
18,52,51,"2013-11-30 16:53:32.148173","assumptive_dependency","2013-11-30 16:53:32.148173",NULL,NULL,NULL
19,71,28,"2013-12-02 10:08:40.856938","assumptive_dependency","2013-12-02 10:08:40.856938",NULL,NULL,NULL
20,78,77,"2013-12-04 09:21:04.067914","assumptive_dependency","2013-12-04 09:21:04.067914",NULL,NULL,NULL
21,80,74,"2013-12-04 12:13:40.83818","assumptive_dependency","2013-12-04 12:13:40.83818",NULL,NULL,NULL
22,81,74,"2013-12-04 12:24:56.869736","assumptive_dependency","2013-12-04 12:24:56.869736",NULL,NULL,NULL
23,82,74,"2013-12-04 12:31:00.137067","assumptive_dependency","2013-12-04 12:31:00.137067",NULL,NULL,NULL
24,83,74,"2013-12-04 12:35:45.789164","assumptive_dependency","2013-12-04 12:35:45.789164",NULL,NULL,NULL
25,86,75,"2013-12-04 16:02:05.410208","assumptive_dependency","2013-12-04 16:02:05.410208",NULL,NULL,NULL
26,87,75,"2013-12-04 16:03:58.288272","assumptive_dependency","2013-12-04 16:03:58.288272",NULL,NULL,NULL
27,88,75,"2013-12-04 16:06:17.970874","assumptive_dependency","2013-12-04 16:06:17.970874",NULL,NULL,NULL
28,89,75,"2013-12-04 16:07:54.880676","assumptive_dependency","2013-12-04 16:07:54.880676",NULL,NULL,NULL
29,109,104,"2013-12-12 14:19:30.457531","assumptive_dependency","2013-12-12 14:19:30.457531",NULL,NULL,NULL
30,110,104,"2013-12-16 06:18:45.628157","assumptive_dependency","2013-12-16 06:18:45.628157",NULL,NULL,NULL
31,111,104,"2013-12-16 06:28:09.303836","assumptive_dependency","2013-12-16 06:28:09.303836",NULL,NULL,NULL
32,112,104,"2013-12-16 06:38:12.026392","assumptive_dependency","2013-12-16 06:38:12.026392",NULL,NULL,NULL
33,113,104,"2013-12-16 07:49:31.882928","assumptive_dependency","2013-12-16 07:49:31.882928",NULL,NULL,NULL
